step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
630 1.237178e+00 5.349033e-02 1.054719e-01 1.445385e-03 4.649424e-01 6.199231e+03
640 1.256410e+00 5.328949e-02 1.052047e-01 1.443614e-03 4.655322e-01 6.207096e+03
650 1.275614e+00 5.309805e-02 1.049508e-01 1.441909e-03 4.660952e-01 6.214603e+03
660 1.294790e+00 5.291588e-02 1.047098e-01 1.440269e-03 4.666313e-01 6.221750e+03
670 1.313940e+00 5.273384e-02 1.044696e-01 1.438614e-03 4.671672e-01 6.228897e+03
680 1.333064e+00 5.255206e-02 1.042304e-01 1.436946e-03 4.677032e-01 6.236042e+03
690 1.352162e+00 5.237070e-02 1.039919e-01 1.435270e-03 4.682390e-01 6.243186e+03
700 1.371233e+00 5.219887e-02 1.037662e-01 1.433672e-03 4.687479e-01 6.249973e+03
710 1.390280e+00 5.203640e-02 1.035531e-01 1.432151e-03 4.692301e-01 6.256401e+03
720 1.409304e+00 5.187425e-02 1.033407e-01 1.430624e-03 4.697121e-01 6.262828e+03
730 1.428304e+00 5.172137e-02 1.031407e-01 1.429174e-03 4.701674e-01 6.268898e+03
740 1.447283e+00 5.156874e-02 1.029412e-01 1.427716e-03 4.706226e-01 6.274967e+03
750 1.466240e+00 5.142530e-02 1.027541e-01 1.426338e-03 4.710509e-01 6.280679e+03
760 1.485175e+00 5.129100e-02 1.025791e-01 1.425040e-03 4.714525e-01 6.286033e+03
770 1.504091e+00 5.114795e-02 1.023930e-01 1.423648e-03 4.718808e-01 6.291744e+03
780 1.522986e+00 5.101401e-02 1.022190e-01 1.422338e-03 4.722823e-01 6.297097e+03
790 1.541862e+00 5.088916e-02 1.020570e-01 1.421109e-03 4.726569e-01 6.302093e+03
800 1.560720e+00 5.076443e-02 1.018954e-01 1.419874e-03 4.730316e-01 6.307088e+03
810 1.579559e+00 5.063983e-02 1.017342e-01 1.418634e-03 4.734063e-01 6.312083e+03
820 1.598380e+00 5.052422e-02 1.015848e-01 1.417476e-03 4.737541e-01 6.316722e+03
830 1.617185e+00 5.040871e-02 1.014358e-01 1.416313e-03 4.741020e-01 6.321359e+03
840 1.635972e+00 5.029330e-02 1.012871e-01 1.415144e-03 4.744498e-01 6.325997e+03
850 1.654743e+00 5.018684e-02 1.011502e-01 1.414060e-03 4.747708e-01 6.330278e+03
860 1.673497e+00 5.008046e-02 1.010136e-01 1.412972e-03 4.750919e-01 6.334558e+03
870 1.692237e+00 4.997415e-02 1.008772e-01 1.411879e-03 4.754129e-01 6.338839e+03
880 1.710960e+00 4.987676e-02 1.007524e-01 1.410872e-03 4.757071e-01 6.342762e+03
890 1.729669e+00 4.977943e-02 1.006279e-01 1.409861e-03 4.760014e-01 6.346685e+03
900 1.748363e+00 4.968216e-02 1.005036e-01 1.408846e-03 4.762956e-01 6.350608e+03
910 1.767043e+00 4.958494e-02 1.003796e-01 1.407828e-03 4.765899e-01 6.354532e+03
920 1.785709e+00 4.949658e-02 1.002670e-01 1.406897e-03 4.768573e-01 6.358098e+03
930 1.804362e+00 4.940823e-02 1.001546e-01 1.405961e-03 4.771248e-01 6.361664e+03
940 1.823002e+00 4.931989e-02 1.000424e-01 1.405021e-03 4.773923e-01 6.365230e+03
950 1.841628e+00 4.923160e-02 9.993039e-02 1.404078e-03 4.776597e-01 6.368796e+03
960 1.860242e+00 4.914337e-02 9.981858e-02 1.403132e-03 4.779272e-01 6.372362e+03
970 1.878842e+00 4.905522e-02 9.970695e-02 1.402183e-03 4.781946e-01 6.375928e+03
980 1.897429e+00 4.896719e-02 9.959552e-02 1.401233e-03 4.784621e-01 6.379494e+03
990 1.916003e+00 4.887928e-02 9.948427e-02 1.400281e-03 4.787295e-01 6.383060e+03
1000 1.934563e+00 4.879154e-02 9.937321e-02 1.399330e-03 4.789970e-01 6.386626e+03
1010 1.953111e+00 4.870397e-02 9.926234e-02 1.398378e-03 4.792644e-01 6.390192e+03
1020 1.971645e+00 4.861661e-02 9.915166e-02 1.397428e-03 4.795318e-01 6.393758e+03
1030 1.990166e+00 4.852947e-02 9.904116e-02 1.396480e-03 4.797992e-01 6.397323e+03
1040 2.008673e+00 4.844258e-02 9.893086e-02 1.395534e-03 4.800667e-01 6.400889e+03
1050 2.027168e+00 4.835596e-02 9.882074e-02 1.394591e-03 4.803341e-01 6.404454e+03
1060 2.045649e+00 4.826963e-02 9.871080e-02 1.393651e-03 4.806015e-01 6.408019e+03
1070 2.064117e+00 4.818361e-02 9.860106e-02 1.392716e-03 4.808688e-01 6.411585e+03
1080 2.082572e+00 4.809792e-02 9.849150e-02 1.391786e-03 4.811362e-01 6.415150e+03
1090 2.101013e+00 4.801259e-02 9.838213e-02 1.390861e-03 4.814036e-01 6.418714e+03
1100 2.119441e+00 4.792762e-02 9.827294e-02 1.389942e-03 4.816709e-01 6.422279e+03
1110 2.137857e+00 4.784304e-02 9.816395e-02 1.389030e-03 4.819383e-01 6.425844e+03
1120 2.156258e+00 4.775887e-02 9.805514e-02 1.388125e-03 4.822056e-01 6.429408e+03
1130 2.174647e+00 4.767511e-02 9.794652e-02 1.387227e-03 4.824729e-01 6.432972e+03
1140 2.193022e+00 4.759179e-02 9.783809e-02 1.386337e-03 4.827402e-01 6.436536e+03
1150 2.211385e+00 4.750891e-02 9.772985e-02 1.385456e-03 4.830074e-01 6.440099e+03
1160 2.229733e+00 4.742650e-02 9.762179e-02 1.384584e-03 4.832747e-01 6.443662e+03
1170 2.248069e+00 4.734456e-02 9.751393e-02 1.383720e-03 4.835419e-01 6.447225e+03
1180 2.266392e+00 4.726311e-02 9.740625e-02 1.382867e-03 4.838091e-01 6.450788e+03
1190 2.284701e+00 4.718215e-02 9.729877e-02 1.382023e-03 4.840762e-01 6.454350e+03
1200 2.302997e+00 4.710170e-02 9.719148e-02 1.381190e-03 4.843433e-01 6.457911e+03
1210 2.321280e+00 4.702177e-02 9.708437e-02 1.380367e-03 4.846104e-01 6.461472e+03
1220 2.339550e+00 4.694236e-02 9.697746e-02 1.379555e-03 4.848775e-01 6.465033e+03
1230 2.357807e+00 4.686349e-02 9.687074e-02 1.378754e-03 4.851445e-01 6.468593e+03
1240 2.376050e+00 4.678515e-02 9.676421e-02 1.377965e-03 4.854115e-01 6.472153e+03
1250 2.394280e+00 4.670736e-02 9.665787e-02 1.377187e-03 4.856784e-01 6.475712e+03
1260 2.412497e+00 4.663012e-02 9.655173e-02 1.376421e-03 4.859453e-01 6.479271e+03
1270 2.430701e+00 4.655344e-02 9.644578e-02 1.375667e-03 4.862122e-01 6.482829e+03
1280 2.448892e+00 4.647733e-02 9.634002e-02 1.374926e-03 4.864790e-01 6.486386e+03
1290 2.467070e+00 4.640178e-02 9.623446e-02 1.374197e-03 4.867457e-01 6.489943e+03
1300 2.485234e+00 4.632680e-02 9.612909e-02 1.373480e-03 4.870124e-01 6.493499e+03
1310 2.503386e+00 4.625239e-02 9.602391e-02 1.372776e-03 4.872790e-01 6.497054e+03
1320 2.521524e+00 4.617855e-02 9.591894e-02 1.372084e-03 4.875456e-01 6.500608e+03
1330 2.539650e+00 4.610530e-02 9.581415e-02 1.371406e-03 4.878121e-01 6.504162e+03
1340 2.557762e+00 4.603262e-02 9.570957e-02 1.370740e-03 4.880786e-01 6.507714e+03
1350 2.575861e+00 4.596053e-02 9.560518e-02 1.370088e-03 4.883450e-01 6.511266e+03
1360 2.593947e+00 4.588902e-02 9.550099e-02 1.369449e-03 4.886113e-01 6.514817e+03
1370 2.612020e+00 4.581808e-02 9.539700e-02 1.368822e-03 4.888775e-01 6.518367e+03
1380 2.630080e+00 4.574774e-02 9.529320e-02 1.368209e-03 4.891437e-01 6.521916e+03
1390 2.648127e+00 4.567797e-02 9.518960e-02 1.367610e-03 4.894098e-01 6.525464e+03
1400 2.666161e+00 4.560878e-02 9.508621e-02 1.367023e-03 4.896758e-01 6.529011e+03
1410 2.684182e+00 4.554018e-02 9.498301e-02 1.366450e-03 4.899418e-01 6.532557e+03
1420 2.702190e+00 4.547215e-02 9.488001e-02 1.365890e-03 4.902076e-01 6.536102e+03
1430 2.720185e+00 4.540471e-02 9.477721e-02 1.365343e-03 4.904734e-01 6.539645e+03
1440 2.738167e+00 4.533784e-02 9.467462e-02 1.364810e-03 4.907391e-01 6.543188e+03
1450 2.756136e+00 4.527154e-02 9.457222e-02 1.364290e-03 4.910047e-01 6.546729e+03
1460 2.774092e+00 4.520582e-02 9.447003e-02 1.363783e-03 4.912702e-01 6.550269e+03
1470 2.792035e+00 4.514067e-02 9.436804e-02 1.363289e-03 4.915356e-01 6.553808e+03
1480 2.809966e+00 4.507608e-02 9.426625e-02 1.362808e-03 4.918009e-01 6.557345e+03
1490 2.827883e+00 4.501207e-02 9.416466e-02 1.362341e-03 4.920661e-01 6.560881e+03
1500 2.845788e+00 4.494861e-02 9.406327e-02 1.361887e-03 4.923312e-01 6.564416e+03
1510 2.863679e+00 4.488572e-02 9.396209e-02 1.361446e-03 4.925962e-01 6.567950e+03
1520 2.881558e+00 4.482338e-02 9.386112e-02 1.361018e-03 4.928611e-01 6.571482e+03
1530 2.899424e+00 4.476159e-02 9.376034e-02 1.360602e-03 4.931259e-01 6.575012e+03
1540 2.917277e+00 4.470036e-02 9.365977e-02 1.360200e-03 4.933906e-01 6.578541e+03
1550 2.935118e+00 4.463967e-02 9.355941e-02 1.359811e-03 4.936552e-01 6.582069e+03
1560 2.952945e+00 4.457953e-02 9.345925e-02 1.359434e-03 4.939196e-01 6.585595e+03
1570 2.970760e+00 4.451994e-02 9.335929e-02 1.359070e-03 4.941840e-01 6.589120e+03
1580 2.988562e+00 4.446087e-02 9.325954e-02 1.358719e-03 4.944482e-01 6.592642e+03
1590 3.006352e+00 4.440235e-02 9.316000e-02 1.358380e-03 4.947123e-01 6.596164e+03
1600 3.024128e+00 4.434435e-02 9.306066e-02 1.358054e-03 4.949762e-01 6.599683e+03
1610 3.041892e+00 4.428687e-02 9.296153e-02 1.357740e-03 4.952401e-01 6.603201e+03
1620 3.059643e+00 4.422992e-02 9.286260e-02 1.357439e-03 4.955038e-01 6.606717e+03
1630 3.077382e+00 4.417349e-02 9.276388e-02 1.357149e-03 4.957674e-01 6.610232e+03
1640 3.095108e+00 4.411756e-02 9.266537e-02 1.356872e-03 4.960309e-01 6.613745e+03
1650 3.112821e+00 4.406215e-02 9.256706e-02 1.356607e-03 4.962942e-01 6.617256e+03
1660 3.130522e+00 4.400724e-02 9.246896e-02 1.356354e-03 4.965574e-01 6.620765e+03
1670 3.148210e+00 4.395283e-02 9.237107e-02 1.356113e-03 4.968204e-01 6.624272e+03
1680 3.165885e+00 4.389892e-02 9.227339e-02 1.355883e-03 4.970833e-01 6.627778e+03
1690 3.183548e+00 4.384550e-02 9.217591e-02 1.355665e-03 4.973461e-01 6.631281e+03
1700 3.201199e+00 4.379257e-02 9.207864e-02 1.355459e-03 4.976087e-01 6.634783e+03
1710 3.218837e+00 4.374011e-02 9.198158e-02 1.355264e-03 4.978712e-01 6.638283e+03
1720 3.236462e+00 4.368814e-02 9.188472e-02 1.355081e-03 4.981335e-01 6.641780e+03
1730 3.254075e+00 4.363664e-02 9.178807e-02 1.354908e-03 4.983957e-01 6.645276e+03
1740 3.271675e+00 4.358561e-02 9.169164e-02 1.354747e-03 4.986577e-01 6.648770e+03
1750 3.289263e+00 4.353505e-02 9.159540e-02 1.354597e-03 4.989196e-01 6.652262e+03
1760 3.306839e+00 4.348495e-02 9.149938e-02 1.354458e-03 4.991813e-01 6.655751e+03
1770 3.324402e+00 4.343530e-02 9.140357e-02 1.354330e-03 4.994429e-01 6.659239e+03
1780 3.341952e+00 4.338611e-02 9.130796e-02 1.354213e-03 4.997043e-01 6.662724e+03
1790 3.359491e+00 4.333737e-02 9.121256e-02 1.354106e-03 4.999656e-01 6.666208e+03
1800 3.377017e+00 4.328907e-02 9.111737e-02 1.354010e-03 5.002267e-01 6.669689e+03
1810 3.394530e+00 4.324120e-02 9.102239e-02 1.353924e-03 5.004876e-01 6.673168e+03
1820 3.412031e+00 4.319378e-02 9.092761e-02 1.353849e-03 5.007484e-01 6.676645e+03
1830 3.429520e+00 4.314678e-02 9.083305e-02 1.353784e-03 5.010090e-01 6.680119e+03
1840 3.446997e+00 4.310021e-02 9.073869e-02 1.353729e-03 5.012694e-01 6.683592e+03
1850 3.464462e+00 4.305407e-02 9.064454e-02 1.353684e-03 5.015296e-01 6.687062e+03
1860 3.481914e+00 4.300834e-02 9.055059e-02 1.353650e-03 5.017897e-01 6.690530e+03
1870 3.499354e+00 4.296303e-02 9.045686e-02 1.353625e-03 5.020497e-01 6.693995e+03
1880 3.516781e+00 4.291812e-02 9.036333e-02 1.353609e-03 5.023094e-01 6.697459e+03
1890 3.534197e+00 4.287362e-02 9.027001e-02 1.353604e-03 5.025690e-01 6.700920e+03
1900 3.551601e+00 4.282952e-02 9.017690e-02 1.353608e-03 5.028284e-01 6.704378e+03
1910 3.568992e+00 4.278582e-02 9.008400e-02 1.353621e-03 5.030876e-01 6.707834e+03
1920 3.586371e+00 4.274252e-02 8.999130e-02 1.353644e-03 5.033466e-01 6.711288e+03
1930 3.603738e+00 4.269960e-02 8.989881e-02 1.353676e-03 5.036055e-01 6.714740e+03
1940 3.621093e+00 4.265707e-02 8.980653e-02 1.353717e-03 5.038642e-01 6.718189e+03
1950 3.638436e+00 4.261492e-02 8.971446e-02 1.353767e-03 5.041226e-01 6.721635e+03
1960 3.655767e+00 4.257314e-02 8.962259e-02 1.353827e-03 5.043810e-01 6.725079e+03
1970 3.673086e+00 4.253174e-02 8.953093e-02 1.353895e-03 5.046391e-01 6.728521e+03
1980 3.690393e+00 4.249071e-02 8.943947e-02 1.353972e-03 5.048970e-01 6.731960e+03
1990 3.707688e+00 4.245004e-02 8.934823e-02 1.354057e-03 5.051548e-01 6.735397e+03
2000 3.724971e+00 4.240974e-02 8.925719e-02 1.354151e-03 5.054123e-01 6.738831e+03
2010 3.742242e+00 4.236979e-02 8.916635e-02 1.354254e-03 5.056697e-01 6.742263e+03
2020 3.759501e+00 4.233019e-02 8.907572e-02 1.354365e-03 5.059269e-01 6.745692e+03
2030 3.776748e+00 4.229095e-02 8.898530e-02 1.354485e-03 5.061839e-01 6.749118e+03
2040 3.793984e+00 4.225205e-02 8.889508e-02 1.354612e-03 5.064407e-01 6.752542e+03
2050 3.811207e+00 4.221350e-02 8.880507e-02 1.354748e-03 5.066973e-01 6.755963e+03
2060 3.828419e+00 4.217529e-02 8.871526e-02 1.354892e-03 5.069537e-01 6.759382e+03
2070 3.845619e+00 4.213741e-02 8.862566e-02 1.355043e-03 5.072099e-01 6.762798e+03
2080 3.862807e+00 4.209986e-02 8.853626e-02 1.355203e-03 5.074659e-01 6.766212e+03
2090 3.879983e+00 4.206264e-02 8.844707e-02 1.355370e-03 5.077217e-01 6.769622e+03
2100 3.897148e+00 4.202574e-02 8.835808e-02 1.355545e-03 5.079773e-01 6.773030e+03
2110 3.914301e+00 4.198917e-02 8.826929e-02 1.355728e-03 5.082327e-01 6.776436e+03
2120 3.931442e+00 4.195292e-02 8.818071e-02 1.355918e-03 5.084879e-01 6.779839e+03
2130 3.948572e+00 4.191697e-02 8.809234e-02 1.356115e-03 5.087429e-01 6.783239e+03
2140 3.965690e+00 4.188134e-02 8.800416e-02 1.356320e-03 5.089977e-01 6.786636e+03
2150 3.982796e+00 4.184602e-02 8.791619e-02 1.356532e-03 5.092523e-01 6.790031e+03
2160 3.999891e+00 4.181100e-02 8.782842e-02 1.356752e-03 5.095067e-01 6.793422e+03
2170 4.016974e+00 4.177629e-02 8.774085e-02 1.356978e-03 5.097609e-01 6.796812e+03
2180 4.034045e+00 4.174187e-02 8.765349e-02 1.357211e-03 5.100148e-01 6.800198e+03
2190 4.051105e+00 4.170774e-02 8.756633e-02 1.357452e-03 5.102686e-01 6.803581e+03
2200 4.068154e+00 4.167391e-02 8.747937e-02 1.357699e-03 5.105222e-01 6.806962e+03
2210 4.085191e+00 4.164036e-02 8.739261e-02 1.357953e-03 5.107755e-01 6.810340e+03
2220 4.102217e+00 4.160711e-02 8.730605e-02 1.358213e-03 5.110287e-01 6.813715e+03
2230 4.119231e+00 4.157413e-02 8.721969e-02 1.358481e-03 5.112816e-01 6.817088e+03
2240 4.136233e+00 4.154143e-02 8.713353e-02 1.358754e-03 5.115343e-01 6.820457e+03
2250 4.153225e+00 4.150901e-02 8.704757e-02 1.359035e-03 5.117868e-01 6.823824e+03
2260 4.170205e+00 4.147686e-02 8.696182e-02 1.359321e-03 5.120391e-01 6.827188e+03
2270 4.187173e+00 4.144498e-02 8.687626e-02 1.359614e-03 5.122912e-01 6.830549e+03
2280 4.204130e+00 4.141336e-02 8.679090e-02 1.359913e-03 5.125430e-01 6.833907e+03
2290 4.221076e+00 4.138202e-02 8.670574e-02 1.360218e-03 5.127947e-01 6.837262e+03
2300 4.238011e+00 4.135093e-02 8.662077e-02 1.360530e-03 5.130461e-01 6.840615e+03
2310 4.254934e+00 4.132010e-02 8.653601e-02 1.360847e-03 5.132973e-01 6.843964e+03
2320 4.271846e+00 4.128953e-02 8.645144e-02 1.361171e-03 5.135483e-01 6.847311e+03
2330 4.288747e+00 4.125921e-02 8.636707e-02 1.361500e-03 5.137991e-01 6.850655e+03
2340 4.305637e+00 4.122914e-02 8.628290e-02 1.361835e-03 5.140496e-01 6.853995e+03
2350 4.322515e+00 4.119932e-02 8.619892e-02 1.362176e-03 5.143000e-01 6.857333e+03
2360 4.339383e+00 4.116974e-02 8.611514e-02 1.362522e-03 5.145501e-01 6.860668e+03
2370 4.356239e+00 4.114041e-02 8.603155e-02 1.362874e-03 5.148000e-01 6.864000e+03
2380 4.373084e+00 4.111131e-02 8.594816e-02 1.363232e-03 5.150497e-01 6.867329e+03
2390 4.389918e+00 4.108246e-02 8.586497e-02 1.363595e-03 5.152991e-01 6.870655e+03
2400 4.406741e+00 4.105383e-02 8.578197e-02 1.363963e-03 5.155484e-01 6.873978e+03
2410 4.423553e+00 4.102544e-02 8.569916e-02 1.364337e-03 5.157974e-01 6.877299e+03
2420 4.440354e+00 4.099728e-02 8.561655e-02 1.364716e-03 5.160462e-01 6.880616e+03
2430 4.457144e+00 4.096935e-02 8.553413e-02 1.365100e-03 5.162947e-01 6.883930e+03
2440 4.473923e+00 4.094164e-02 8.545190e-02 1.365489e-03 5.165431e-01 6.887241e+03
2450 4.490691e+00 4.091415e-02 8.536987e-02 1.365884e-03 5.167912e-01 6.890549e+03
2460 4.507448e+00 4.088689e-02 8.528803e-02 1.366283e-03 5.170391e-01 6.893855e+03
2470 4.524195e+00 4.085984e-02 8.520638e-02 1.366688e-03 5.172868e-01 6.897157e+03
2480 4.540930e+00 4.083300e-02 8.512492e-02 1.367097e-03 5.175342e-01 6.900456e+03
2490 4.557654e+00 4.080638e-02 8.504365e-02 1.367512e-03 5.177814e-01 6.903752e+03
2500 4.574368e+00 4.077997e-02 8.496258e-02 1.367931e-03 5.180284e-01 6.907046e+03
2510 4.591071e+00 4.075377e-02 8.488169e-02 1.368355e-03 5.182752e-01 6.910336e+03
2520 4.607763e+00 4.072778e-02 8.480100e-02 1.368783e-03 5.185217e-01 6.913623e+03
2530 4.624445e+00 4.070199e-02 8.472049e-02 1.369216e-03 5.187680e-01 6.916907e+03
2540 4.641115e+00 4.067640e-02 8.464017e-02 1.369654e-03 5.190141e-01 6.920188e+03
2550 4.657775e+00 4.065101e-02 8.456004e-02 1.370096e-03 5.192600e-01 6.923466e+03
2560 4.674424e+00 4.062582e-02 8.448010e-02 1.370543e-03 5.195056e-01 6.926741e+03
2570 4.691063e+00 4.060083e-02 8.440035e-02 1.370994e-03 5.197510e-01 6.930013e+03
2580 4.707691e+00 4.057602e-02 8.432078e-02 1.371449e-03 5.199961e-01 6.933282e+03
2590 4.724308e+00 4.055142e-02 8.424140e-02 1.371909e-03 5.202411e-01 6.936548e+03
2600 4.740915e+00 4.052700e-02 8.416221e-02 1.372373e-03 5.204858e-01 6.939810e+03
2610 4.757511e+00 4.050277e-02 8.408320e-02 1.372841e-03 5.207303e-01 6.943070e+03
2620 4.774097e+00 4.047872e-02 8.400438e-02 1.373314e-03 5.209745e-01 6.946327e+03
2630 4.790672e+00 4.045486e-02 8.392574e-02 1.373790e-03 5.212185e-01 6.949580e+03
2640 4.807236e+00 4.043118e-02 8.384729e-02 1.374271e-03 5.214623e-01 6.952831e+03
2650 4.823790e+00 4.040768e-02 8.376902e-02 1.374755e-03 5.217058e-01 6.956078e+03
2660 4.840334e+00 4.038436e-02 8.369094e-02 1.375244e-03 5.219492e-01 6.959322e+03
2670 4.856867e+00 4.036121e-02 8.361303e-02 1.375736e-03 5.221923e-01 6.962563e+03
2680 4.873390e+00 4.033825e-02 8.353532e-02 1.376232e-03 5.224351e-01 6.965802e+03
2690 4.889903e+00 4.031545e-02 8.345778e-02 1.376732e-03 5.226777e-01 6.969037e+03
2700 4.906405e+00 4.029282e-02 8.338043e-02 1.377236e-03 5.229201e-01 6.972269e+03
2710 4.922897e+00 4.027037e-02 8.330325e-02 1.377744e-03 5.231623e-01 6.975497e+03
2720 4.939378e+00 4.024808e-02 8.322626e-02 1.378255e-03 5.234042e-01 6.978723e+03
2730 4.955849e+00 4.022596e-02 8.314945e-02 1.378770e-03 5.236459e-01 6.981946e+03
2740 4.972310e+00 4.020400e-02 8.307282e-02 1.379289e-03 5.238874e-01 6.985165e+03
