step time inner_iter continuity_l2 mom_u_l2 mom_v_l2
880 1.365113e+00 1 9.663850e-05 3.313611e-12 5.766401e-15
890 1.382112e+00 1 9.804780e-05 3.316542e-12 5.737017e-15
900 1.399125e+00 1 9.863799e-05 3.316183e-12 5.699337e-15
910 1.416149e+00 1 9.548013e-05 3.314193e-12 5.655576e-15
920 1.433186e+00 1 9.228518e-05 3.310902e-12 5.607049e-15
930 1.450235e+00 1 8.994865e-05 3.306599e-12 5.554804e-15
940 1.467295e+00 1 8.847706e-05 3.301535e-12 5.499696e-15
950 1.484368e+00 1 8.765224e-05 3.295931e-12 5.442428e-15
960 1.501451e+00 1 8.724473e-05 3.289980e-12 5.383585e-15
970 1.518547e+00 1 8.707087e-05 3.283843e-12 5.323652e-15
980 1.535653e+00 1 8.699867e-05 3.277658e-12 5.263036e-15
990 1.552770e+00 1 8.693950e-05 3.271541e-12 5.202077e-15
1000 1.569899e+00 1 8.683755e-05 3.265583e-12 5.141057e-15
1010 1.587038e+00 1 8.666065e-05 3.259855e-12 5.080209e-15
1020 1.604188e+00 1 8.639312e-05 3.254412e-12 5.019723e-15
1030 1.621348e+00 1 8.603043e-05 3.249292e-12 4.959754e-15
1040 1.638518e+00 1 8.557534e-05 3.244520e-12 4.900428e-15
1050 1.655699e+00 1 8.503512e-05 3.240107e-12 4.841842e-15
1060 1.672889e+00 1 8.441962e-05 3.236055e-12 4.784070e-15
1070 1.690090e+00 1 8.373990e-05 3.232358e-12 4.727171e-15
1080 1.707299e+00 1 8.300731e-05 3.228999e-12 4.671185e-15
1090 1.724519e+00 1 8.223290e-05 3.225960e-12 4.616138e-15
1100 1.741747e+00 1 8.142702e-05 3.223214e-12 4.562048e-15
1110 1.758985e+00 1 8.059908e-05 3.220731e-12 4.508921e-15
1120 1.776231e+00 1 7.975746e-05 3.218479e-12 4.456757e-15
1130 1.793486e+00 1 7.890944e-05 3.216422e-12 4.405549e-15
1140 1.810750e+00 1 7.806124e-05 3.214524e-12 4.355286e-15
1150 1.828022e+00 1 7.721807e-05 3.212747e-12 4.305952e-15
1160 1.845302e+00 1 7.638416e-05 3.211053e-12 4.257529e-15
1170 1.862590e+00 1 7.556292e-05 3.209402e-12 4.209996e-15
1180 1.879886e+00 1 7.475695e-05 3.207758e-12 4.163332e-15
1190 1.897190e+00 1 7.396819e-05 3.206082e-12 4.117512e-15
1200 1.914501e+00 1 7.319796e-05 3.204338e-12 4.072513e-15
1210 1.931819e+00 1 7.244710e-05 3.202491e-12 4.028311e-15
1220 1.949145e+00 1 7.171600e-05 3.200505e-12 3.984881e-15
1230 1.966477e+00 1 7.100469e-05 3.198348e-12 3.942200e-15
1240 1.983816e+00 1 7.031293e-05 3.195989e-12 3.900243e-15
1250 2.001162e+00 1 6.964021e-05 3.193397e-12 3.858989e-15
1260 2.018514e+00 1 6.898586e-05 3.190545e-12 3.818415e-15
1270 2.035872e+00 1 6.834906e-05 3.187406e-12 3.778500e-15
1280 2.053236e+00 1 6.772888e-05 3.183957e-12 3.739223e-15
1290 2.070606e+00 1 6.712435e-05 3.180174e-12 3.700564e-15
1300 2.087982e+00 1 6.653441e-05 3.176036e-12 3.662506e-15
1310 2.105362e+00 1 6.595801e-05 3.171524e-12 3.625031e-15
1320 2.122749e+00 1 6.539409e-05 3.166622e-12 3.588122e-15
1330 2.140140e+00 1 6.484160e-05 3.161313e-12 3.551762e-15
1340 2.157536e+00 1 6.429953e-05 3.155585e-12 3.515939e-15
