step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
630 9.504493e-01 3.452722e-02 1.219663e-01 8.068012e-04 4.323620e-01 5.764826e+03
640 9.664704e-01 3.484852e-02 1.214496e-01 8.177735e-04 4.332807e-01 5.777076e+03
650 9.825434e-01 3.519835e-02 1.209010e-01 8.297311e-04 4.342627e-01 5.790169e+03
660 9.986708e-01 3.555313e-02 1.203574e-01 8.418793e-04 4.352422e-01 5.803229e+03
670 1.014852e+00 3.591231e-02 1.198190e-01 8.542058e-04 4.362190e-01 5.816253e+03
680 1.031088e+00 3.627529e-02 1.192857e-01 8.666969e-04 4.371930e-01 5.829240e+03
690 1.047377e+00 3.664139e-02 1.187576e-01 8.793370e-04 4.381640e-01 5.842186e+03
700 1.063719e+00 3.700990e-02 1.182347e-01 8.921088e-04 4.391319e-01 5.855091e+03
710 1.080113e+00 3.738003e-02 1.177170e-01 9.049934e-04 4.400965e-01 5.867953e+03
720 1.096559e+00 3.775095e-02 1.172045e-01 9.179704e-04 4.410577e-01 5.880769e+03
730 1.113056e+00 3.812181e-02 1.166971e-01 9.310183e-04 4.420153e-01 5.893538e+03
740 1.129603e+00 3.847947e-02 1.162117e-01 9.436787e-04 4.429376e-01 5.905835e+03
750 1.146197e+00 3.883581e-02 1.157311e-01 9.563727e-04 4.438563e-01 5.918084e+03
760 1.162837e+00 3.916586e-02 1.152880e-01 9.682074e-04 4.447084e-01 5.929446e+03
770 1.179519e+00 3.948158e-02 1.148653e-01 9.796041e-04 4.455259e-01 5.940346e+03
780 1.196242e+00 3.979476e-02 1.144465e-01 9.909879e-04 4.463404e-01 5.951205e+03
790 1.213002e+00 4.008112e-02 1.140633e-01 1.001472e-03 4.470894e-01 5.961193e+03
800 1.229798e+00 4.035274e-02 1.136992e-01 1.011487e-03 4.478047e-01 5.970730e+03
810 1.246627e+00 4.059802e-02 1.133694e-01 1.020596e-03 4.484556e-01 5.979409e+03
820 1.263484e+00 4.082896e-02 1.130576e-01 1.029232e-03 4.490736e-01 5.987648e+03
830 1.280369e+00 4.103420e-02 1.127789e-01 1.036962e-03 4.496281e-01 5.995041e+03
840 1.297278e+00 4.122561e-02 1.125174e-01 1.044221e-03 4.501503e-01 6.002004e+03
850 1.314209e+00 4.140332e-02 1.122727e-01 1.051007e-03 4.506405e-01 6.008541e+03
860 1.331159e+00 4.155663e-02 1.120598e-01 1.056903e-03 4.510685e-01 6.014246e+03
870 1.348128e+00 4.169695e-02 1.118631e-01 1.062337e-03 4.514650e-01 6.019533e+03
880 1.365113e+00 4.182451e-02 1.116823e-01 1.067312e-03 4.518302e-01 6.024403e+03
890 1.382112e+00 4.193957e-02 1.115173e-01 1.071832e-03 4.521644e-01 6.028859e+03
900 1.399125e+00 4.204249e-02 1.113678e-01 1.075904e-03 4.524677e-01 6.032903e+03
910 1.416149e+00 4.214356e-02 1.112189e-01 1.079935e-03 4.527706e-01 6.036941e+03
920 1.433186e+00 4.224258e-02 1.110705e-01 1.083919e-03 4.530729e-01 6.040972e+03
930 1.450235e+00 4.233936e-02 1.109226e-01 1.087850e-03 4.533748e-01 6.044998e+03
940 1.467295e+00 4.243375e-02 1.107753e-01 1.091726e-03 4.536762e-01 6.049016e+03
950 1.484368e+00 4.252565e-02 1.106284e-01 1.095542e-03 4.539772e-01 6.053029e+03
960 1.501451e+00 4.261495e-02 1.104821e-01 1.099296e-03 4.542777e-01 6.057036e+03
970 1.518547e+00 4.270160e-02 1.103363e-01 1.102987e-03 4.545777e-01 6.061036e+03
980 1.535653e+00 4.278555e-02 1.101910e-01 1.106613e-03 4.548773e-01 6.065031e+03
990 1.552770e+00 4.286679e-02 1.100462e-01 1.110173e-03 4.551765e-01 6.069020e+03
1000 1.569899e+00 4.294530e-02 1.099019e-01 1.113667e-03 4.554753e-01 6.073004e+03
1010 1.587038e+00 4.302110e-02 1.097581e-01 1.117094e-03 4.557736e-01 6.076981e+03
1020 1.604188e+00 4.309421e-02 1.096147e-01 1.120456e-03 4.560715e-01 6.080953e+03
1030 1.621348e+00 4.316466e-02 1.094719e-01 1.123753e-03 4.563690e-01 6.084920e+03
1040 1.638518e+00 4.323249e-02 1.093295e-01 1.126984e-03 4.566661e-01 6.088882e+03
1050 1.655699e+00 4.329775e-02 1.091875e-01 1.130153e-03 4.569629e-01 6.092838e+03
1060 1.672889e+00 4.336049e-02 1.090460e-01 1.133259e-03 4.572592e-01 6.096789e+03
1070 1.690090e+00 4.342078e-02 1.089050e-01 1.136304e-03 4.575552e-01 6.100736e+03
1080 1.707299e+00 4.347866e-02 1.087644e-01 1.139289e-03 4.578508e-01 6.104677e+03
1090 1.724519e+00 4.353421e-02 1.086243e-01 1.142217e-03 4.581460e-01 6.108613e+03
1100 1.741747e+00 4.358748e-02 1.084846e-01 1.145087e-03 4.584409e-01 6.112545e+03
1110 1.758985e+00 4.363855e-02 1.083454e-01 1.147902e-03 4.587354e-01 6.116472e+03
1120 1.776231e+00 4.368748e-02 1.082065e-01 1.150664e-03 4.590296e-01 6.120395e+03
1130 1.793486e+00 4.373434e-02 1.080681e-01 1.153373e-03 4.593234e-01 6.124312e+03
1140 1.810750e+00 4.377919e-02 1.079302e-01 1.156032e-03 4.596169e-01 6.128226e+03
1150 1.828022e+00 4.382209e-02 1.077926e-01 1.158641e-03 4.599101e-01 6.132135e+03
1160 1.845302e+00 4.386311e-02 1.076554e-01 1.161203e-03 4.602030e-01 6.136040e+03
1170 1.862590e+00 4.390231e-02 1.075187e-01 1.163719e-03 4.604955e-01 6.139940e+03
1180 1.879886e+00 4.393974e-02 1.073824e-01 1.166190e-03 4.607877e-01 6.143836e+03
1190 1.897190e+00 4.397547e-02 1.072465e-01 1.168617e-03 4.610796e-01 6.147728e+03
1200 1.914501e+00 4.400954e-02 1.071109e-01 1.171003e-03 4.613712e-01 6.151616e+03
1210 1.931819e+00 4.404201e-02 1.069758e-01 1.173347e-03 4.616625e-01 6.155500e+03
